Share [buyer=user2, seller=user2, company=TCS, quantity=10, amount=3901.0]
Share [buyer=user1, seller=user3, company=TCS, quantity=10, amount=3901.0]
Share [buyer=user3, seller=user1, company=TCS, quantity=10, amount=3901.0]
Share [buyer=user1, seller=user1, company=TCS, quantity=10, amount=3901.0]
Share [buyer=user3, seller=user2, company=TCS, quantity=10, amount=3901.0]
Share [buyer=user2, seller=user3, company=TCS, quantity=10, amount=3901.0]
Share [buyer=User3, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User2, seller=User3, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User2, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User3, seller=User1, company=TCS, quantity=10, amount=3903.0]
Share [buyer=User1, seller=User1, company=TCS, quantity=3, amount=3903.0]
Share [buyer=User1, seller=User2, company=TCS, quantity=7, amount=3903.0]
Share [buyer=User2, seller=User2, company=TCS, quantity=6, amount=3903.0]
Share [buyer=User2, seller=User3, company=TCS, quantity=4, amount=3903.0]
Share [buyer=User1, seller=User3, company=TCS, quantity=9, amount=3903.0]
Share [buyer=User1, seller=User1, company=TCS, quantity=0, amount=3903.0]
Share [buyer=User2, seller=User1, company=TCS, quantity=0, amount=3903.0]
Share [buyer=User3, seller=User1, company=TCS, quantity=0, amount=3903.0]
Share [buyer=User1, seller=User1, company=TCS, quantity=2, amount=3903.0]
Share [buyer=User2, seller=User1, company=TCS, quantity=1, amount=3903.0]
Share [buyer=User2, seller=User2, company=TCS, quantity=1, amount=3903.0]
Share [buyer=User3, seller=User2, company=TCS, quantity=2, amount=3903.0]
Share [buyer=User1, seller=User1, company=TCS, quantity=1, amount=3903.0]
Share [buyer=User2, seller=User1, company=TCS, quantity=1, amount=3903.0]
Share [buyer=User3, seller=User1, company=TCS, quantity=1, amount=3903.0]
Share [buyer=User1, seller=User1, company=TCS, quantity=1, amount=3903.0]
Share [buyer=User1, seller=User2, company=TCS, quantity=2, amount=3903.0]
Share [buyer=User2, seller=User2, company=TCS, quantity=2, amount=3903.0]
Share [buyer=User2, seller=User3, company=TCS, quantity=1, amount=3903.0]
Share [buyer=User3, seller=User3, company=TCS, quantity=3, amount=3903.0]
